cyr,dep_id,see,app_udep_rc2,latest_moecd_scd2,top_uni,public
2018,1489,50,099012_國立臺北大學_法律學系法學組,0017_04211028,FALSE,TRUE
2018,1490,50,099032_國立臺北大學_法律學系財經法組,0017_04211028,FALSE,TRUE
2018,1491,50,099132_國立臺北大學_社會學系,0017_03141011,FALSE,TRUE
2018,1493,50,099142_國立臺北大學_社會工作學系,0017_09231041,FALSE,TRUE
2018,1496,50,099072_國立臺北大學_統計學系,0017_05421033,FALSE,TRUE
2018,1497,50,099122_國立臺北大學_經濟學系,0017_03111009,FALSE,TRUE
2018,1499,60,099102_國立臺北大學_財政學系,0017_04122023,FALSE,TRUE
2018,1501,50,099182_國立臺北大學_資訊工程學系,0017_06131036,FALSE,TRUE
2018,1503,50,099192_國立臺北大學_通訊工程學系,0017_07141037,FALSE,TRUE
2018,1505,50,099052_國立臺北大學_金融與合作經營學系,0017_04121022,FALSE,TRUE
2018,1507,50,099202_國立臺北大學_電機工程學系,0017_07141035,FALSE,TRUE
2018,1510,25,032072_國立臺北教育大學_兒童英語教育學系,0037_02311023,FALSE,TRUE
2018,1511,25,032202_國立臺北教育大學_兒童英語教育學系(公費生),0037_02311023,FALSE,TRUE
2018,1515,30,032032_國立臺北教育大學_幼兒與家庭教育學系,0037_01121035,FALSE,TRUE
2018,1521,30,032052_國立臺北教育大學_心理與諮商學系,0037_03131007,FALSE,TRUE
2018,1526,50,032012_國立臺北教育大學_教育學系,0037_01131001,FALSE,TRUE
2018,1528,50,032022_國立臺北教育大學_教育經營與管理學系,0037_01114044,FALSE,TRUE
2018,1531,20,032142_國立臺北教育大學_數位科技設計學系,0037_02122011,FALSE,TRUE
2018,1535,50,032152_國立臺北教育大學_數學暨資訊教育學系數學組,0037_01131038,FALSE,TRUE
2018,1537,50,032162_國立臺北教育大學_數學暨資訊教育學系資訊組,0037_01131038,FALSE,TRUE
2018,1539,50,032222_國立臺北教育大學_數學與資訊教育學系數學組(公費生),0037_01131038,FALSE,TRUE
2018,1540,50,032102_國立臺北教育大學_文化創意產業經營學系,0037_02121028,FALSE,TRUE
2018,1541,50,032042_國立臺北教育大學_特殊教育學系,0037_01113003,FALSE,TRUE
2018,1544,15,032062_國立臺北教育大學_社會與區域發展學系,0037_03143005,FALSE,TRUE
2018,1545,25,032122_國立臺北教育大學_自然科學教育學系,0037_05399040,FALSE,TRUE
2018,1547,25,032212_國立臺北教育大學_自然科學教育學系(公費生乙組),0037_05399040,FALSE,TRUE
2018,1548,25,032192_國立臺北教育大學_自然科學教育學系(公費生甲組),0037_05399040,FALSE,TRUE
2018,1549,25,032172_國立臺北教育大學_自然科學教育學系(芝山組),0037_05399040,FALSE,TRUE
2018,1551,30,032262_國立臺北教育大學_藝術與造形設計學系藝術組,0037_02121014,FALSE,TRUE
2018,1554,0,032112_國立臺北教育大學_藝術與造形設計學系設計組,0037_02121014,FALSE,TRUE
